Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-08-09,The Departed,2006,https://boxd.it/MvGJL,5,,,2019-06-12
2019-07-14,GoodFellas,1990,https://boxd.it/La0Iv,4,,,2019-06-19
2019-07-14,Yesterday,2019,https://boxd.it/La0eP,2.5,,,2019-07-07
2019-07-14,Insidious,2010,https://boxd.it/L9ZWL,3.5,,,2019-07-13
2019-07-15,From Dusk Till Dawn,1996,https://boxd.it/Le1mD,3.5,,,2019-07-14
2019-07-16,Reservoir Dogs,1992,https://boxd.it/Lhupn,5,,,2019-07-16
2019-07-26,The Shawshank Redemption,1994,https://boxd.it/LLZpD,4.5,,,2019-07-25
2019-08-01,Once Upon a Time… in Hollywood,2019,https://boxd.it/M7hjv,4.5,,,2019-07-31
2019-08-07,Kill Bill: Vol. 1,2003,https://boxd.it/Mp0U1,3.5,,,2019-08-06
2019-08-07,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/MrxDr,0.5,,,2019-08-07
2019-08-26,Good Boys,2019,https://boxd.it/Nrx6h,2,,,2019-08-25
2019-08-29,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/NzGKV,4,,,2019-08-28
2019-08-29,Instant Family,2018,https://boxd.it/NAnOh,3,,,2019-08-28
2019-09-07,It Chapter Two,2019,https://boxd.it/O3Ck5,2,,,2019-09-06
2019-10-06,Joker,2019,https://boxd.it/PzOeL,4,,,2019-10-05
2019-10-15,El Camino: A Breaking Bad Movie,2019,https://boxd.it/Q8hFp,3.5,,,2019-10-14
2019-11-09,Jojo Rabbit,2019,https://boxd.it/RDAM1,4.5,,,2019-11-08
2019-12-14,Knives Out,2019,https://boxd.it/TNpnn,3.5,,,2019-12-13
2019-12-19,Parasite,2019,https://boxd.it/U99jN,4.5,,,2019-12-18
2020-02-15,Snowpiercer,2013,https://boxd.it/Zpved,3.5,,,2020-02-14
2020-02-18,Uncut Gems,2019,https://boxd.it/ZJYYT,4.5,,,2020-02-14
2020-03-17,Isle of Dogs,2018,https://boxd.it/11ZDuX,4,,,2020-03-17
2020-04-11,Good Time,2017,https://boxd.it/14OLtD,4,,,2020-04-10
2020-04-19,The Platform,2019,https://boxd.it/15W1lX,3,,,2020-04-19
2020-04-28,Shutter Island,2010,https://boxd.it/16ZWWr,4.5,,,2020-04-27
2020-04-30,La La Land,2016,https://boxd.it/17dy1f,4,,,2020-04-29
2020-05-01,Se7en,1995,https://boxd.it/17kx71,4.5,,,2020-04-30
2020-06-21,Fight Club,1999,https://boxd.it/1d6cc1,5,Yes,,2020-06-20
2020-07-01,Hell or High Water,2016,https://boxd.it/1e6zd1,4,,,2020-06-30
2020-07-03,The Irishman,2019,https://boxd.it/1eid17,5,,,2020-07-02
2020-07-06,Drive,2011,https://boxd.it/1eyC9R,4,,,2020-07-04
2020-07-06,Taxi Driver,1976,https://boxd.it/1eCIWj,5,,,2020-07-05
2020-07-14,Star Wars,1977,https://boxd.it/1fq5qD,4,,,2020-07-12
2020-07-15,The Empire Strikes Back,1980,https://boxd.it/1fzbcP,4,,,2020-07-13
2020-07-17,Return of the Jedi,1983,https://boxd.it/1fLacj,4,,"analysis, quarantine, quotes",2020-07-15
2020-07-22,Donnie Darko,2001,https://boxd.it/1ghF8h,4.5,,"quotes, analysis, quarantine",2020-07-20
2020-07-23,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/1gq3pH,2.5,,"w/ Butlers, w/ carter, the boys, analysis, quarantine, quotes",2020-07-22
2020-07-24,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/1gw2Lz,3,,"w/ butlers, w/ carter, w/ godins, the boys, quotes, quarantine",2020-07-23
2020-08-22,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1juuzf,3.5,,,2020-08-16
2020-10-14,Boogie Nights,1997,https://boxd.it/1p3Nb7,4.5,,"analysis, quotes, outofretirement",2020-10-13
2021-01-01,The Departed,2006,https://boxd.it/1yh4AF,5,Yes,,2020-12-31
2021-01-10,Sound of Metal,2019,https://boxd.it/1zQls3,4,,thereturn,2021-01-09
2021-01-31,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/1CUU7T,3.5,,"w/ sunil, quarantine",2021-01-29
2021-01-31,The Prestige,2006,https://boxd.it/1CYoNr,5,,"w/ sunil, quarantine",2021-01-30
2021-03-17,Zodiac,2007,https://boxd.it/1JesWN,4,,,2021-03-16
2021-03-28,Pokémon Detective Pikachu,2019,https://boxd.it/1KG8aJ,2.5,,,2021-03-21
2021-03-27,The Art of Self-Defense,2019,https://boxd.it/1Kuxe3,4,,,2021-03-25
2021-03-27,Pineapple Express,2008,https://boxd.it/1KzyCP,3.5,Yes,the boys,2021-03-26
2021-03-28,Spider-Man: Far from Home,2019,https://boxd.it/1KEDpB,3,,,2021-03-27
2021-03-29,Bad Trip,2021,https://boxd.it/1KNpV7,3.5,,,2021-03-27
2021-04-11,Glass,2019,https://boxd.it/1MKTZb,3,,,2021-04-10
2021-04-12,Silver Linings Playbook,2012,https://boxd.it/1MQqX3,4,Yes,,2021-04-10
2021-04-20,Save Ralph,2021,https://boxd.it/1O3vgX,,,,2021-04-19
2021-04-26,Words on Bathroom Walls,2020,https://boxd.it/1OXaqp,3,,,2021-04-25
2021-05-02,Avatar,2009,https://boxd.it/1PLOHv,3.5,,the boys,2021-05-01
2021-05-05,Get Smart,2008,https://boxd.it/1QetQp,3,Yes,,2021-05-04
2021-05-06,The Mitchells vs. The Machines,2021,https://boxd.it/1QiDxF,3.5,,,2021-05-05
2021-05-07,Nightcrawler,2014,https://boxd.it/1QsHC5,4,,,2021-05-06
2021-05-15,Tower Heist,2011,https://boxd.it/1RsRPd,2.5,Yes,,2021-05-12
2021-05-24,The Hitman's Bodyguard,2017,https://boxd.it/1SF3Fd,2.5,,,2021-05-23
2021-05-31,Catch Me If You Can,2002,https://boxd.it/1TAzdJ,4,Yes,,2021-05-29
2021-07-01,The Curious Case of Benjamin Button,2008,https://boxd.it/1XFSAN,3.5,,,2021-06-18
2021-07-01,Luca,2021,https://boxd.it/1XFKwN,3,,,2021-06-26
2021-07-09,Loki,2021,https://boxd.it/1YMLNj,3.5,,,2021-07-08
2021-07-22,Now You See Me,2013,https://boxd.it/20PJhJ,3,,,2021-07-22
