Date,Name,Year,Letterboxd URI,Rating
2019-07-14,Get Out,2017,https://boxd.it/eOCm,3.5
2019-07-14,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2019-07-14,Black Panther,2018,https://boxd.it/8MHs,3
2019-07-14,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2019-07-14,Deadpool,2016,https://boxd.it/9fOC,3
2019-07-14,The Truman Show,1998,https://boxd.it/18U8,4
2019-07-14,Avengers: Endgame,2019,https://boxd.it/9vE4,3.5
2019-07-14,It,2017,https://boxd.it/bC8e,3.5
2019-07-14,John Wick,2014,https://boxd.it/7dEc,3
2019-07-14,"I, Tonya",2017,https://boxd.it/dzR0,3.5
2019-07-14,Forrest Gump,1994,https://boxd.it/728,4
2019-07-14,A Quiet Place,2018,https://boxd.it/fVJQ,4
2019-07-15,The Breakfast Club,1985,https://boxd.it/27q4,3.5
2019-07-15,The Disaster Artist,2017,https://boxd.it/cTqc,4
2019-07-15,Back to the Future Part II,1989,https://boxd.it/2aYI,3
2019-07-15,Edge of Tomorrow,2014,https://boxd.it/4pD0,2.5
2019-07-15,Life of Pi,2012,https://boxd.it/37pC,3.5
2019-07-15,Now You See Me,2013,https://boxd.it/2Bsu,3
2019-07-15,Child's Play,1988,https://boxd.it/1VTo,3.5
2019-07-15,Saw,2004,https://boxd.it/2aWW,3.5
2019-07-15,The 40 Year Old Virgin,2005,https://boxd.it/21hK,3.5
2019-07-15,The Mask,1994,https://boxd.it/29rS,3.5
2019-07-15,The Dark Knight,2008,https://boxd.it/2b0k,4
2019-07-15,Thor: Ragnarok,2017,https://boxd.it/8MHi,3
2019-07-15,Django Unchained,2012,https://boxd.it/2cCk,4
2019-07-15,Us,2019,https://boxd.it/gnV6,3.5
2019-07-15,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2019-07-15,Baby Driver,2017,https://boxd.it/bhF2,3.5
2019-07-15,The Lion King,1994,https://boxd.it/201Q,3
