Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-07-14,Yesterday,2019,https://boxd.it/La0eP,2.5,,huge beatles fan but this fell short for me. an important twist was not thoroughly explained leaving a somewhat confusing plot line at times,,2019-07-07
2019-07-15,From Dusk Till Dawn,1996,https://boxd.it/Le1mD,3.5,,this movie busted my brain,,2019-07-14
2019-07-16,Reservoir Dogs,1992,https://boxd.it/Lhupn,5,,woah,,2019-07-16
2019-07-26,The Shawshank Redemption,1994,https://boxd.it/LLZpD,4.5,,"<i>“Get busy living, or get busy dying.”</i>",,2019-07-25
2019-08-01,Once Upon a Time… in Hollywood,2019,https://boxd.it/M7hjv,4.5,,"<b>wow</b>, what a movie. 

tarantino uses his characteristically prolonged dialogue and <i>seemingly pointless</i> scenes to produce an ending unlike anything i’ve ever seen. but perhaps that’s due to my developing cinema knowledge.
 
i applaud the advertising/marketing for this movie. the one thing i knew beforehand left me waiting and waiting which turned out to be the biggest twist of them all!

oh, and i’m also a sucker for references and tarantino has that in spades.",,2019-07-31
2019-08-07,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/MrxDr,0.5,,"say the fate of the world one more time,<b> i dare you</b>",,2019-08-07
2019-08-09,The Departed,2006,https://boxd.it/MvGJL,5,,"Leo is billy costigan. 
I’m shipping up to boston is a huge fire up. 
And the last twenty minutes is practically poetic.",,2019-06-12
2019-08-26,Good Boys,2019,https://boxd.it/Nrx6h,2,,"The trailer spoiled the entire movie and I should have expected that. 
Keith Williams is pretty good tho.",,2019-08-25
2019-08-29,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/NzGKV,4,,"Jim Carey is a very talented actor. 
Interesting concept which also leaves a pretty powerful commentary on memory and relationships. 
Definitely a memorable film.",,2019-08-28
2019-09-07,It Chapter Two,2019,https://boxd.it/O3Ck5,2,,"naked grandma
really predictable and overused jump scares
the movie should be less than 2 hours",,2019-09-06
2019-10-06,Joker,2019,https://boxd.it/PzOeL,4,,"Joaquin was phenomenal
Beautifully cinematography
Accurate portrayal of psychosis
Didn’t feel like a typical comic book movie
Wish I was a little more surprised but overall good
(p.s. girlfriend twist seems surface level but i think there are hints earlier in the movie)",,2019-10-05
2019-10-15,El Camino: A Breaking Bad Movie,2019,https://boxd.it/Q8hFp,3.5,,"I was always a huge <i>Breaking Bad</i> fan. <i>El Camino</i> definitely met my standards. I think everyone would agree that Gilligan directing <i>El Camino</i> was necessary. I believe this sequel does an excellent job of not straying from its focus: Jesse. While the Walter-Jesse relationship was essential to the success of the series, it was already incredibly complex and didn’t need any more development. Making any significant changes to the Walter-Jesse relationship would take away from what the show was able to accomplish in my opinion. Last, the movie offers closure to Jesse’s character arc without taking away from the series’ finale.",,2019-10-14
2019-11-09,Jojo Rabbit,2019,https://boxd.it/RDAM1,4.5,,"Unreal cinematography, quality film, good mix of drama and comedy.",,2019-11-08
2019-12-14,Knives Out,2019,https://boxd.it/TNpnn,3.5,,Fairly classic whodunit. Appreciated the comedy and the characters were quite good.,,2019-12-13
2019-12-19,Parasite,2019,https://boxd.it/U99jN,4.5,,"<i>“This is so metaphorical</i>...”

Literally. Almost every aspect of the movie. 

Very memorable film. Blends three distinct genres into one movie.",,2019-12-18
2020-02-18,Uncut Gems,2019,https://boxd.it/ZJYYT,4.5,,"Wow •••
Loved it ———
Pure adrenaline rush of sports gambling with a side of mob...
also, what an ending!!!",,2020-02-14
2020-03-17,Isle of Dogs,2018,https://boxd.it/11ZDuX,4,,Wes Anderson does it again with this animated gem,,2020-03-17
