Date,Name,Year,Letterboxd URI
2019-07-14,Apocalypse Now,1979,https://boxd.it/6ZS
2019-07-14,The Lobster,2015,https://boxd.it/7tnw
2019-07-14,The Shining,1980,https://boxd.it/29Nu
2019-07-14,There Will Be Blood,2007,https://boxd.it/20Z2
2019-07-14,Watchmen,2009,https://boxd.it/1QE4
2019-07-14,Full Metal Jacket,1987,https://boxd.it/2a1Q
2019-07-14,Memento,2000,https://boxd.it/2bcK
2019-07-14,North by Northwest,1959,https://boxd.it/2aRM
2019-07-14,The Silence of the Lambs,1991,https://boxd.it/2aHW
2019-07-15,Psycho,1960,https://boxd.it/2ab2
2019-07-15,The Thing,1982,https://boxd.it/294O
2019-07-15,The Revenant,2015,https://boxd.it/8H5e
2019-07-15,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2019-07-15,Vertigo,1958,https://boxd.it/2apI
2019-07-15,Die Hard,1988,https://boxd.it/2a7u
2019-07-15,Scarface,1983,https://boxd.it/2b7g
2019-07-15,Citizen Kane,1941,https://boxd.it/71O
2019-07-15,The Room,2003,https://boxd.it/1ICY
2019-07-15,12 Angry Men,1957,https://boxd.it/2auI
2019-07-15,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2019-07-15,Schindler's List,1993,https://boxd.it/2aq2
2019-07-15,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2019-07-15,It's a Wonderful Life,1946,https://boxd.it/28xA
2019-07-15,Casablanca,1942,https://boxd.it/2aG0
2019-07-15,Hot Fuzz,2007,https://boxd.it/2416
2019-07-15,Hereditary,2018,https://boxd.it/hNVe
2019-07-15,Hacksaw Ridge,2016,https://boxd.it/azew
2019-07-15,Ready Player One,2018,https://boxd.it/aZes
2019-07-15,The Exorcist,1973,https://boxd.it/1Yoo
2019-07-15,The Beach Bum,2019,https://boxd.it/fH4O
2019-07-15,Who Killed Captain Alex?,2010,https://boxd.it/adJ8
2019-07-15,The Wizard of Oz,1939,https://boxd.it/29Xu
2019-07-15,Midsommar,2019,https://boxd.it/jhxe
